단어,의미,장르,예문
순사,"일제 강점기에 둔, 경찰관의 가장 낮은 계급, 또는 그 계급의 사람",사회학 및 심리학,"할아버지는 일제강점기 순사의 횡포를 기억하고 있었다."
세태,"사람들의 일상생활, 풍습 등에서 보이는 세상의 상태나 형편",사회학 및 심리학,"요즘 세태를 보면 개인주의가 강해졌다."
사고무인,주위에 사람이 없어서 쓸쓸함,사회학 및 심리학,"대도시에서도 사고무인의 외로움을 느낄 수 있다."
면모,얼굴의 모양,사회학 및 심리학,"새로운 면모를 보여주며 변화를 시도했다."
총체적,있는 것들을 모두 하나로 합치거나 묶은 것,사회학 및 심리학,"총체적인 접근법으로 문제를 해결해야 한다."
동조,남의 주장에 자기의 의견을 일치시키거나 보조를 맞춤,사회학 및 심리학,"사회적 압력에 의한 동조 현상이 나타났다."
감언이설,귀가 솔깃하도록 남의 비위를 맞추거나 이로운 조건을 내세워 꾀는 말,사회학 및 심리학,"감언이설에 속아 큰 손해를 보았다."
부용장,연꽃으로 장식한 휘장 또는 부인의 침실,사회학 및 심리학,"궁궐의 부용장이 화려하게 장식되어 있었다."
춘궁,"봄철의 궁핍, 주로 식량이 떨어지는 봄",사회학 및 심리학,"농촌에서는 춘궁기가 가장 어려운 시기였다."
병치,나란히 놓음,사회학 및 심리학,"두 이론을 병치하여 비교 분석했다."
지각,감각 기관을 통해 인식함,심리학·인지과학,"시각적 지각 능력이 뛰어난 사람이다."
편향되다,한쪽으로 치우치다,심리학·인지과학,"언론 보도가 특정 방향으로 편향되었다."
흠칫하다,놀라서 몸을 움츠리다,심리학·인지과학,"갑작스러운 소음에 흠칫하며 놀랐다."
유대감,끈처럼 연결된 친밀한 감정,심리학·인지과학,"팀원들 간의 유대감이 강해졌다."
반추,지난 일을 곱씹어 되새김,심리학·인지과학,"과거의 실수를 반추하며 후회했다."
고찰,자세히 생각하고 살펴봄,심리학·인지과학,"문제의 원인을 깊이 고찰해보았다."
촉진,일이 빠르게 진행되도록 함,심리학·인지과학,"새로운 정책이 경제 성장을 촉진했다."
함양,기르고 키움,심리학·인지과학,"독서를 통해 교양을 함양했다."
도모,일을 계획하고 꾀함,심리학·인지과학,"회사 발전을 도모하는 전략을 세웠다."
잠재의식,의식 아래에 숨어 있어 직접 인식되지 않는 정신 활동,심리학·인지과학,"잠재의식이 행동에 영향을 미친다."
망각,잊어버려 생각이 나지 않음,심리학·인지과학,"시간이 지나면서 슬픈 기억이 망각되었다."
투영,(1) 다른 물체의 모양이 표면에 비쳐 나타남(2) 무의식적 심리 상태를 외부에 드러냄,심리학·인지과학,"자신의 불안을 다른 사람에게 투영하다,빛을 비추어 그림자를 드리우거나 생각이나 감정을 반영하다,철학,"자신의 감정을 상대방에게 투영하고 있다."
상충,서로 맞지 않고 어긋남,철학,"두 이론이 상충하는 부분이 있다."
유리되다,떨어져 분리되다,철학,"현실에서 유리된 이론은 의미가 없다."
삼공,조정의 가장 높은 벼슬 또는 권세가 높은 사람,철학,"삼공의 지위에 오른 재상이다."
연하,안개와 노을로 이루어진 자연의 아름다운 경치,철학,"연하가 어우러진 아름다운 풍경이다."
작인,일을 하는 사람 또는 농사짓는 사람,철학,"성실한 작인의 모습이 감동적이다."
상정하다,가정하여 생각하다,철학,"최악의 상황을 상정하고 대비책을 마련했다."
고양하다,"높이다, 북돋우다",철학,"국민의 의식을 고양하는 교육이 필요하다."
일의적,한 가지 뜻만 있음,철학,"일의적인 해석만으로는 부족하다."
유기적,서로 긴밀하게 연결된,철학,"사회의 각 부분은 유기적으로 연결되어 있다."
당위성,마땅히 그래야 할 성질,철학,"도덕적 당위성을 갖춘 행동이어야 한다."
동화,음운이 서로 영향을 주어 비슷해짐,철학,"'십리'는 음운 동화 현상의 예이다."
이치,"사물의 도리, 이론",철학,"자연의 이치를 깨닫는 것이 중요하다."
수양,마음이나 품성을 닦음,철학,"지속적인 수양을 통해 인격을 완성해야 한다."
천명,"하늘이 내린 명령, 운명",철학,"천명을 따라 살아가는 삶의 자세가 필요하다."
사유하다,깊이 생각하다,철학,"철학적 문제를 깊이 사유해보았다."
반모음,모음과 자음의 중간 성질,철학,"'j'와 'w'는 반모음의 예이다."
회한,지나간 일을 뉘우치고 한탄함,철학,"과거에 대한 회한을 떨쳐버리고 앞으로 나아갔다."
순연하다,차례대로 미루어 연기하다,철학,"회의를 다음 주로 순연하기로 했다."
체념,단념함,철학,"현실을 체념하고 받아들였다."
경시,대수롭지 않게 여김,철학,"안전을 경시해서는 안 된다."
착취,이익을 위해 부당하게 이용함,철학,"노동자를 착취하는 행위는 비도덕적이다."
반영,영향을 받아 드러남,철학,"사회 현실이 문학 작품에 반영되었다."
지양,피하면서 더 높은 수준을 추구함,철학,"낡은 관습을 지양하고 새로운 문화를 만들어야 한다."
쇠퇴,기세나 능력이 줄어듦,철학,"문명의 쇠퇴 과정을 연구했다."
인식,무엇을 분명히 알아차림,철학,"문제에 대한 올바른 인식이 필요하다."
잔존,남아서 계속 존재함,철학,"과거의 흔적이 현재에도 잔존하고 있다."
수반,함께 따라 붙음,철학,"권리에는 의무가 수반된다."
정당성,"행위나 주장이 도덕적, 법적으로 옳고 타당함",철학,"정책의 정당성을 확보해야 한다."
관점,어떤 대상을 바라보는 개인의 시각이나 생각,철학,"다양한 관점에서 문제를 살펴보았다."
논쟁,서로 다른 의견을 가지고 벌이는 말다툼이나 토론,철학,"학계에서 치열한 논쟁이 벌어졌다."
주관적,개인의 생각이나 감정에 따른,철학,"주관적 판단보다는 객관적 근거가 필요하다."
존재,"실제로 있음, 혹은 그 있음의 상태",철학,"인간 존재의 의미를 탐구했다."
가능성,어떤 일이 일어날 수 있는 정도나 확률,철학,"성공의 가능성을 타진해보았다."
대상,행위나 감정이 향하는 목표물,철학,"연구의 대상을 명확히 설정했다."
차이,"서로 같지 않음, 다름",철학,"문화 간의 차이를 이해하는 것이 중요하다."
존재론,존재의 본질을 연구하는 철학 분야,철학,"하이데거는 존재론의 대표적 철학자다."
공존,서로 다른 존재가 함께 존재함,철학,"다양성과 통일성의 공존이 가능하다."
정당화,어떤 행위나 주장을 옳다고 설명하는 것,철학,"폭력의 정당화는 어려운 문제다."
공감,다른 사람의 감정을 함께 느끼는 것,철학,"타인에 대한 공감 능력이 중요하다."
자율,스스로 판단하고 행동하는 능력,철학,"개인의 자율성을 존중해야 한다."
논리,생각이나 주장에 타당성을 부여하는 체계,철학,"논리적 사고로 문제를 해결했다."
합리성,이성적이고 논리적인 판단이나 행동,철학,"합리성에 기반한 의사결정이 필요하다."
양면성,어떤 것에 두 가지 상반된 면이 존재함,철학,"기술 발전의 양면성을 고려해야 한다."
딜레마,양쪽 모두 포기하기 어려운 선택 상황,철학,"윤리적 딜레마에 직면했다."
존엄,인간으로서의 고귀한 가치,철학,"인간의 존엄을 지키는 것이 최우선이다."
상정,가정하여 생각함,철학,"가상의 상황을 상정하고 시뮬레이션했다."
귀결,어떤 결과나 결말에 이르러 마침,철학,"모든 행동은 결과로 귀결된다."
이념,어떤 사상 체계의 근본적인 생각,철학,"민주주의 이념을 실현하기 위해 노력했다."
모호성,의미가 불분명하여 분명치 않음,철학,"언어의 모호성이 오해를 불러왔다."
현전,실제로 존재하여 눈앞에 나타남,철학,"진리가 우리 앞에 현전했다."
시뮬라시옹,모의 실험이나 모의 상황 설정,철학,"보드리야르의 시뮬라시옹 이론이 유명하다."
환원,복잡한 대상을 단순한 요소로 돌려보냄,철학,"복잡한 현상을 기본 요소로 환원하여 설명했다."
구조주의,사물이나 현상을 구조의 관점에서 분석하는 이론,철학,"레비스트로스는 구조주의의 대표적 학자다."
기호론,기호의 본질과 기능을 연구하는 학문,철학,"퍼스의 기호론이 현대 철학에 영향을 주었다."
현상학,주관적 경험을 있는 그대로 기술하려는 철학적 방법,철학,"후설이 창시한 현상학은 20세기 철학의 주요 흐름이다."
담론주의,담론에 주목하여 권력 지식 언어의 상호작용을 분석하는 이론,철학,"푸코의 담론주의는 권력과 지식의 관계를 새롭게 조명했다."
존재론,존재의 본질을 연구하는 철학 분야,철학,"형이상학의 한 분야인 존재론을 연구했다."
차연,데리다의 개념으로 지연과 차이의 합성,철학,"데리다의 차연 개념은 해체주의의 핵심이다."
금욕적이다,욕망이나 쾌락을 억제하고 절제하려는 태도가 있는,철학,"스토아 철학자들은 금욕적인 삶을 추구했다."
궤변,겉으로는 그럴듯하나 이치에 맞지 않는 말,철학,"그의 주장은 논리적 허점이 많은 궤변이다."
모순,서로 맞지 않고 충돌되는 관계,철학,"그의 행동과 말은 모순적이다."
조화성,서로 잘 어울려 균형을 이루는 성질,철학,"자연의 조화성을 감상했다."
정합성,여러 부분이 모순 없이 잘 짜여 있는 성질,철학,"이론의 정합성을 검증해야 한다."
불식하다,부정적인 생각이나 의심 따위를 씻어 없애다,철학,"오해를 불식하기 위해 명확히 설명했다."
천착하다,어떤 일에 대해 깊이 파고들어 연구하거나 조사하다,철학,"진리를 천착하여 탐구했다."
통찰,사물의 본질이나 현상을 날카롭고 깊이 있게 꿰뚫어 봄,철학,"깊은 통찰력으로 문제의 핵심을 파악했다."
논의,어떤 문제에 대하여 서로 의견을 말하며 토론함,철학,"중요한 안건에 대해 논의했다."
추론,이미 아는 사실을 근거로 하여 다른 사실을 이끌어 냄,철학,"논리적 추론을 통해 결론에 도달했다."
논증,어떤 명제가 참임을 이치나 논리로 증명함,철학,"강력한 논증으로 상대방을 설득했다."
사족,쓸데없는 군더더기,철학,"사족을 붙이지 말고 간결하게 말하라."
관조,고요한 마음으로 사물이나 현상을 관찰하고 깊이 통찰함,철학,"관조적 태도로 세상을 바라보았다."
개연성,절대적으로 확실하지 않으나 아마 그럴 것이라고 생각되는 성질,철학,"높은 개연성을 가진 가설이다."
당위성,마땅히 그렇게 하거나 되어야 할 성질,철학,"도덕적 당위성을 따져보아야 한다."
인명재천,사람의 목숨은 하늘에 달려있음,철학,"인명재천이라는 말로 체념했다."
교조적,역사적 환경이나 구체적 현실과 관계없이 어떠한 상황에서도 절대로 변하지 않는 진리인 듯 믿고 따르는 것,철학,"교조적 사고에서 벗어나야 한다."
변증법,사물을 분별하여 논리를 증명하는 방법,철학,"헤겔의 변증법은 정-반-합의 구조를 갖는다."
이기론,우주의 본체인 이와 그 현상인 기로써 모든 현상을 설명하는 이론,철학,"성리학의 이기론은 동양 철학의 핵심이다."
표상,본을 받을 만한 대상,철학,"이상적 인간의 표상을 제시했다."
형이상학,"초경험적인 것을 대상으로 하는 학문을, 형이하 또는 경험적 대상의 학문인 자연 과학에 상대하여 이르는 말",철학,"아리스토텔레스의 형이상학은 서양 철학의 출발점이다."
경천근민,하늘을 공경하고 백성을 위하여 부지런히 일함,철학,"경천근민의 정신으로 정치에 임해야 한다."
차원,사물을 보거나 생각하는 처지. 또는 어떤 생각에 담긴 사상이나 학식 수준,철학,"문제를 다른 차원에서 접근해보자."
속성,사물의 특징이나 성질,철학,"물질의 고유한 속성을 연구했다."
문장 성분,"문장을 구성하는 기능적 단위, 주어, 서술어, 목적어, 보어, 관형어, 부사어, 독립어 등이 있음",철학,"문장 성분을 정확히 분석해야 한다."
```고 있다."
전이,프로이트 심리학에서 무의식의 감정이 다른 대상으로 옮겨가는 현상,심리학·인지과학,"어린 시절 경험이 성인 관계로 전이되었다."
기민하다,눈치가 빠르고 재빠르며 날쌔다,심리학·인지과학,"기민한 판단력으로 위기를 벗어났다."
자조하다,스스로를 비웃거나 풍자하다,심리학·인지과학,"실패한 자신을 자조하며 웃었다."
기시감,처음 겪는 일을 이미 본 것처럼 느끼는 현상,심리학·인지과학,"데자뷰라고도 불리는 기시감을 경험했다."
국한,범위를 제한함,언어학 및 문법,"논의를 특정 주제로 국한하자."
담화표지,담화의 흐름을 나타내는 말,언어학 및 문법,"'그런데', '그러면'은 담화표지의 예이다."
현안,해결되지 않은 문제,언어학 및 문법,"현안 해결을 위한 회의를 소집했다."
외연,개념이 적용되는 범위,언어학 및 문법,"'동물'의 외연에는 개, 고양이 등이 포함된다."
발화,말을 함,언어학 및 문법,"화자의 발화 의도를 파악해야 한다."
재진술,다시 진술함,언어학 및 문법,"요점을 재진술하여 명확히 했다."
독려하다,열심히 하도록 격려하다,언어학 및 문법,"학생들의 참여를 독려했다."
부각하다,뚜렷하게 드러내다,언어학 및 문법,"문제점을 부각하여 설명했다."
자음군,두 개 이상의 자음이 연속되는 것,언어학 및 문법,"영어에는 자음군이 많이 나타난다."
형태소,의미를 가지는 가장 작은 단위,언어학 및 문법,"'책들'은 두 개의 형태소로 구성된다."
자립 형태소,단독으로 쓰이는 형태소,언어학 및 문법,"'책'은 자립 형태소의 예이다."
의존 형태소,혼자 쓰이지 못하고 붙어야 하는 형태소,언어학 및 문법,"'-이'는 의존 형태소이다."
실질 형태소,구체적인 의미를 가진 형태소,언어학 및 문법,"명사와 동사는 실질 형태소이다."
형식 형태소,문법 기능을 가진 형태소,언어학 및 문법,"조사와 어미는 형식 형태소이다."
맥락,어떤 말이나 행동이 이루어지는 배경이나 상황,언어학 및 문법,"맥락을 고려해야 의미를 정확히 파악할 수 있다."
언어상대성,언어의 구조가 사고와 인식을 결정한다는 이론,언어학 및 문법,"사피어-워프의 언어상대성 가설이 유명하다."
소쉬르주의,페르디낭 드 소쉬르의 언어학 이론,언어학 및 문법,"현대 언어학은 소쉬르주의에 큰 영향을 받았다."
귀추,어떤 일이 결국에 가서 이루어지는 형세나 방향,언어학 및 문법,"사건의 귀추를 지켜보고 있다."
동원령,인력이나 자원을 동원하라는 명령,역사 및 인류학,"전시에 국민 동원령이 내려졌다."
규중,여인의 방,역사 및 인류학,"조선시대 규중의 생활상을 연구했다."
유파,학문이나 예술 등의 갈래,역사 및 인류학,"다양한 유파의 철학자들이 모였다."
미시사,작은 단위의 역사,역사 및 인류학,"미시사 연구를 통해 일반인의 삶을 조명했다."
금수,비단과 수놓은 천으로 비유한 아름다운 경치나 사물,역사 및 인류학,"금수강산이라 불리는 아름다운 우리나라다."
조정,임금이 정사를 보는 곳 또는 국가의 중앙 통치 기관,역사 및 인류학,"조선 조정에서 중요한 정책이 결정되었다."
통시적,시간의 흐름에 따라 변화하는,역사 및 인류학,"언어의 통시적 변화를 연구했다."
객체,인식이나 행위의 대상,역사 및 인류학,"연구의 객체를 명확히 설정해야 한다."
행장,살아온 행적,역사 및 인류학,"위인의 행장을 기록으로 남겼다."
각설,말을 바꿔서 또는 이야기를 전환함,역사 및 인류학,"각설하고 다른 주제로 넘어가자."
반공,공을 되돌림 또는 공을 돌려줌,역사 및 인류학,"테니스에서 반공 실력이 중요하다."
순사,일제강점기 때의 경찰관,역사 및 인류학,"일제강점기 순사의 감시가 심했다."
구호소,"구호를 하는 곳, 피난처",역사 및 인류학,"전쟁 중 구호소에서 많은 피난민을 보호했다."
연명하다,목숨을 이어가다,역사 및 인류학,"어려운 상황에서 간신히 연명했다."
신작로,새로 만든 큰길,역사 및 인류학,"일제강점기에 신작로가 많이 건설되었다."
타계하다,세상을 떠나다,역사 및 인류학,"존경받던 교수님이 타계하셨다."
각축,이기려고 서로 경쟁함,역사 및 인류학,"여러 세력이 권력을 놓고 각축을 벌였다."
문헌,옛날의 제도나 문물을 아는 데 증거가 되는 자료나 기록,역사 및 인류학,"고대 문헌을 통해 당시 생활상을 알 수 있다."
봉건적,봉건 제도 특유의 성격을 가지고 있는 것,역사 및 인류학,"봉건적 사고방식에서 벗어나야 한다."
문전걸식,이 집 저 집 돌아다니며 빌어먹음,역사 및 인류학,"가난한 시절 문전걸식으로 연명했다."
위국충절,나라를 위한 충성스러운 절개,역사 및 인류학,"애국지사의 위국충절 정신을 기려야 한다."
강호,강과 호수를 아울러 이르는 말,역사 및 인류학,"은퇴 후 강호에 묻혀 살고 싶다."
목낭청,자기 주견 없이 이래도 저래도 응 하는 사람을 놀림조로 이르는 말,역사 및 인류학,"목낭청 같은 태도로는 리더가 될 수 없다."
무릉도원,"이상향, 별천지를 비유적으로 이르는 말",역사 및 인류학,"현실에서 무릉도원을 찾기는 어렵다."
실성통곡,정신에 이상이 생길 정도로 슬프게 통곡함,역사 및 인류학,"아들을 잃은 어머니가 실성통곡했다."
솔직하다,숨기거나 꾸미는 것이 없이 바르고 곧다,윤리 및 도덕,"솔직한 마음으로 사과했다."
기만,남을 속여 넘김,윤리 및 도덕,"진실을 기만하는 행위는 용납할 수 없다."
식언,한 말이나 약속을 지키지 않음,윤리 및 도덕,"식언하지 않고 약속을 지켰다."
기탄없다,어려워하거나 꺼리는 것이 없다,윤리 및 도덕,"기탄없이 의견을 말해달라."
시시비비,여러 가지의 잘잘못,윤리 및 도덕,"시시비비를 가리기 어려운 복잡한 문제다."
빈민,가난한 백성,윤리 및 도덕,"빈민 구제를 위한 정책이 필요하다."
오경,밤을 다섯으로 나눈 마지막 시간(새벽 3~5시),윤리 및 도덕,"오경에 일어나 공부하는 성실함을 보였다."
실내악,소수의 악기로 연주하는 음악,음악,"현악 4중주는 대표적인 실내악이다."
늑막염,폐를 싸고 있는 늑막에 생긴 염증,과학,"흉막염이라고도 불리는 늑막염에 걸렸다."
역학적,역학의 원리나 성질을 띠는 것,과학,"물체의 역학적 에너지를 계산했다."
열효율,기관에 공급된 열이 유효한 일로 바뀐 정도를 나타내는 지표,과학,"엔진의 열효율을 개선해야 한다."
천체,"우주에 존재하는 모든 물체. 항성, 행성, 위성, 혜성, 성단, 성운, 성간 물질, 인공위성 등을 통틀어 이르는 말",과학,"망원경으로 다양한 천체를 관측했다."
관성,물체가 밖의 힘을 받지 않는 한 정지 또는 등속도 운동의 상태를 지속하려는 성질,과학,"관성의 법칙은 뉴턴의 제1법칙이다."
항상성,생체가 여러 가지 환경 변화에 대응하여 생명 현상이 제대로 일어날 수 있도록 일정한 상태를 유지하는 성질,과학,"체온 조절은 생체의 항상성 유지 기능이다."
생장,생물체의 원형질과 그 부수물의 양이 늘어나는 일,과학,"식물의 생장에는 빛과 물이 필요하다."
섬유소,"포도당으로 된 단순 다당류의 하나로, 고등 식물이나 조류의 세포벽의 주성분",과학,"셀룰로오스라고도 불리는 섬유소는 중요한 생체 물질이다."
춘하추동,"봄, 여름, 가을, 겨울의 네 계절",과학,"춘하추동의 변화가 생태계에 영향을 준다."
프로토콜,통신 규약,정보·기술·AI 관련,"인터넷 프로토콜 TCP/IP를 사용한다."
클라이언트,서비스를 요청하는 컴퓨터나 프로그램,정보·기술·AI 관련,"클라이언트가 서버에 데이터를 요청했다."
화소,디지털 영상의 최소 단위,정보·기술·AI 관련,"고해상도 이미지는 많은 화소로 구성된다."
진공,공기가 없는 상태,정보·기술·AI 관련,"진공 상태에서는 소리가 전달되지 않는다."
단자,"전기 기계나 기구 등에서, 전력을 끌어들이거나 보내는 데 쓰는 회로의 끝부분",정보·기술·AI 관련,"배터리의 양극과 음극 단자를 확인했다."
해상도,텔레비전 화면이나 컴퓨터 디스플레이 등의 화소의 선명도,정보·기술·AI 관련,"4K 해상도로 영상을 촬영했다."  
투영하다,빛을 비추어 그림자를 드리우거나 생각이나 감정을 반영하다,철학,"자신의 감정을 상대방에게 투영하고 있다."
상충,서로 맞지 않고 어긋남,철학,"두 이론이 상충하는 부분이 있다."
유리되다,떨어져 분리되다,철학,"현실에서 유리된 이론은 의미가 없다."
삼공,조정의 가장 높은 벼슬 또는 권세가 높은 사람,철학,"삼공의 지위에 오른 재상이다."
연하,안개와 노을로 이루어진 자연의 아름다운 경치,철학,"연하가 어우러진 아름다운 풍경이다."
작인,일을 하는 사람 또는 농사짓는 사람,철학,"성실한 작인의 모습이 감동적이다."
상정하다,가정하여 생각하다,철학,"최악의 상황을 상정하고 대비책을 마련했다."
고양하다,"높이다, 북돋우다",철학,"국민의 의식을 고양하는 교육이 필요하다."
일의적,한 가지 뜻만 있음,철학,"일의적인 해석만으로는 부족하다."
유기적,서로 긴밀하게 연결된,철학,"사회의 각 부분은 유기적으로 연결되어 있다."
당위성,마땅히 그래야 할 성질,철학,"도덕적 당위성을 갖춘 행동이어야 한다."
동화,음운이 서로 영향을 주어 비슷해짐,철학,"'십리'는 음운 동화 현상의 예이다."
이치,"사물의 도리, 이론",철학,"자연의 이치를 깨닫는 것이 중요하다."
수양,마음이나 품성을 닦음,철학,"지속적인 수양을 통해 인격을 완성해야 한다."
천명,"하늘이 내린 명령, 운명",철학,"천명을 따라 살아가는 삶의 자세가 필요하다."
사유하다,깊이 생각하다,철학,"철학적 문제를 깊이 사유해보았다."
반모음,모음과 자음의 중간 성질,철학,"'j'와 'w'는 반모음의 예이다."
회한,지나간 일을 뉘우치고 한탄함,철학,"과거에 대한 회한을 떨쳐버리고 앞으로 나아갔다."
순연하다,차례대로 미루어 연기하다,철학,"회의를 다음 주로 순연하기로 했다."
체념,단념함,철학,"현실을 체념하고 받아들였다."
경시,대수롭지 않게 여김,철학,"안전을 경시해서는 안 된다."
착취,이익을 위해 부당하게 이용함,철학,"노동자를 착취하는 행위는 비도덕적이다."
반영,영향을 받아 드러남,철학,"사회 현실이 문학 작품에 반영되었다."
지양,피하면서 더 높은 수준을 추구함,철학,"낡은 관습을 지양하고 새로운 문화를 만들어야 한다."
쇠퇴,기세나 능력이 줄어듦,철학,"문명의 쇠퇴 과정을 연구했다."
인식,무엇을 분명히 알아차림,철학,"문제에 대한 올바른 인식이 필요하다."
잔존,남아서 계속 존재함,철학,"과거의 흔적이 현재에도 잔존하고 있다."
수반,함께 따라 붙음,철학,"권리에는 의무가 수반된다."
정당성,"행위나 주장이 도덕적, 법적으로 옳고 타당함",철학,"정책의 정당성을 확보해야 한다."
관점,어떤 대상을 바라보는 개인의 시각이나 생각,철학,"다양한 관점에서 문제를 살펴보았다."
논쟁,서로 다른 의견을 가지고 벌이는 말다툼이나 토론,철학,"학계에서 치열한 논쟁이 벌어졌다."
주관적,개인의 생각이나 감정에 따른,철학,"주관적 판단보다는 객관적 근거가 필요하다."
존재,"실제로 있음, 혹은 그 있음의 상태",철학,"인간 존재의 의미를 탐구했다."
가능성,어떤 일이 일어날 수 있는 정도나 확률,철학,"성공의 가능성을 타진해보았다."
대상,행위나 감정이 향하는 목표물,철학,"연구의 대상을 명확히 설정했다."
차이,"서로 같지 않음, 다름",철학,"문화 간의 차이를 이해하는 것이 중요하다."
존재론,존재의 본질을 연구하는 철학 분야,철학,"하이데거는 존재론의 대표적 철학자다."
공존,서로 다른 존재가 함께 존재함,철학,"다양성과 통일성의 공존이 가능하다."
정당화,어떤 행위나 주장을 옳다고 설명하는 것,철학,"폭력의 정당화는 어려운 문제다."
공감,다른 사람의 감정을 함께 느끼는 것,철학,"타인에 대한 공감 능력이 중요하다."
자율,스스로 판단하고 행동하는 능력,철학,"개인의 자율성을 존중해야 한다."
논리,생각이나 주장에 타당성을 부여하는 체계,철학,"논리적 사고로 문제를 해결했다."
합리성,이성적이고 논리적인 판단이나 행동,철학,"합리성에 기반한 의사결정이 필요하다."
양면성,어떤 것에 두 가지 상반된 면이 존재함,철학,"기술 발전의 양면성을 고려해야 한다."
딜레마,양쪽 모두 포기하기 어려운 선택 상황,철학,"윤리적 딜레마에 직면했다."
존엄,인간으로서의 고귀한 가치,철학,"인간의 존엄을 지키는 것이 최우선이다."
상정,가정하여 생각함,철학,"가상의 상황을 상정하고 시뮬레이션했다."
귀결,어떤 결과나 결말에 이르러 마침,철학,"모든 행동은 결과로 귀결된다."
이념,어떤 사상 체계의 근본적인 생각,철학,"민주주의 이념을 실현하기 위해 노력했다."
모호성,의미가 불분명하여 분명치 않음,철학,"언어의 모호성이 오해를 불러왔다."
현전,실제로 존재하여 눈앞에 나타남,철학,"진리가 우리 앞에 현전했다."
시뮬라시옹,모의 실험이나 모의 상황 설정,철학,"보드리야르의 시뮬라시옹 이론이 유명하다."
환원,복잡한 대상을 단순한 요소로 돌려보냄,철학,"복잡한 현상을 기본 요소로 환원하여 설명했다."
구조주의,사물이나 현상을 구조의 관점에서 분석하는 이론,철학,"레비스트로스는 구조주의의 대표적 학자다."
기호론,기호의 본질과 기능을 연구하는 학문,철학,"퍼스의 기호론이 현대 철학에 영향을 주었다."
현상학,주관적 경험을 있는 그대로 기술하려는 철학적 방법,철학,"후설이 창시한 현상학은 20세기 철학의 주요 흐름이다."
담론주의,담론에 주목하여 권력 지식 언어의 상호작용을 분석하는 이론,철학,"푸코의 담론주의는 권력과 지식의 관계를 새롭게 조명했다."
존재론,존재의 본질을 연구하는 철학 분야,철학,"형이상학의 한 분야인 존재론을 연구했다."
차연,데리다의 개념으로 지연과 차이의 합성,철학,"데리다의 차연 개념은 해체주의의 핵심이다."
금욕적이다,욕망이나 쾌락을 억제하고 절제하려는 태도가 있는,철학,"스토아 철학자들은 금욕적인 삶을 추구했다."
궤변,겉으로는 그럴듯하나 이치에 맞지 않는 말,철학,"그의 주장은 논리적 허점이 많은 궤변이다."
모순,서로 맞지 않고 충돌되는 관계,철학,"그의 행동과 말은 모순적이다."
조화성,서로 잘 어울려 균형을 이루는 성질,철학,"자연의 조화성을 감상했다."
정합성,여러 부분이 모순 없이 잘 짜여 있는 성질,철학,"이론의 정합성을 검증해야 한다."
불식하다,부정적인 생각이나 의심 따위를 씻어 없애다,철학,"오해를 불식하기 위해 명확히 설명했다."
천착하다,어떤 일에 대해 깊이 파고들어 연구하거나 조사하다,철학,"진리를 천착하여 탐구했다."
통찰,사물의 본질이나 현상을 날카롭고 깊이 있게 꿰뚫어 봄,철학,"깊은 통찰력으로 문제의 핵심을 파악했다."
논의,어떤 문제에 대하여 서로 의견을 말하며 토론함,철학,"중요한 안건에 대해 논의했다."
추론,이미 아는 사실을 근거로 하여 다른 사실을 이끌어 냄,철학,"논리적 추론을 통해 결론에 도달했다."
논증,어떤 명제가 참임을 이치나 논리로 증명함,철학,"강력한 논증으로 상대방을 설득했다."
사족,쓸데없는 군더더기,철학,"사족을 붙이지 말고 간결하게 말하라."
관조,고요한 마음으로 사물이나 현상을 관찰하고 깊이 통찰함,철학,"관조적 태도로 세상을 바라보았다."
개연성,절대적으로 확실하지 않으나 아마 그럴 것이라고 생각되는 성질,철학,"높은 개연성을 가진 가설이다."
당위성,마땅히 그렇게 하거나 되어야 할 성질,철학,"도덕적 당위성을 따져보아야 한다."
인명재천,사람의 목숨은 하늘에 달려있음,철학,"인명재천이라는 말로 체념했다."
교조적,역사적 환경이나 구체적 현실과 관계없이 어떠한 상황에서도 절대로 변하지 않는 진리인 듯 믿고 따르는 것,철학,"교조적 사고에서 벗어나야 한다."
변증법,사물을 분별하여 논리를 증명하는 방법,철학,"헤겔의 변증법은 정-반-합의 구조를 갖는다."
이기론,우주의 본체인 이와 그 현상인 기로써 모든 현상을 설명하는 이론,철학,"성리학의 이기론은 동양 철학의 핵심이다."
표상,본을 받을 만한 대상,철학,"이상적 인간의 표상을 제시했다."
형이상학,"초경험적인 것을 대상으로 하는 학문을, 형이하 또는 경험적 대상의 학문인 자연 과학에 상대하여 이르는 말",철학,"아리스토텔레스의 형이상학은 서양 철학의 출발점이다."
경천근민,하늘을 공경하고 백성을 위하여 부지런히 일함,철학,"경천근민의 정신으로 정치에 임해야 한다."
차원,사물을 보거나 생각하는 처지. 또는 어떤 생각에 담긴 사상이나 학식 수준,철학,"문제를 다른 차원에서 접근해보자."
속성,사물의 특징이나 성질,철학,"물질의 고유한 속성을 연구했다."
문장 성분,"문장을 구성하는 기능적 단위, 주어, 서술어, 목적어, 보어, 관형어, 부사어, 독립어 등이 있음",철학,"문장 성분을 정확히 분석해야 한다."  
